doc_id,text,date,_map,team_1,team_2
2312706_Inferno,fnatic Academy VITALIS Inferno 14 16,2017-07-16,Inferno,fnatic Academy,VITALIS
2312710_Cache,Tainted Minds Dark Sided Cache 16 12,2017-07-22,Cache,Tainted Minds,Dark Sided
2312713_Mirage,Dark Sided Grayhound Mirage 13 16,2017-07-22,Mirage,Dark Sided,Grayhound
2312718_Cache,Jaguar Vault Cache 4 16,2017-07-16,Cache,Jaguar,Vault
2312728_Nuke,WySix LDLC Nuke 20 22,2017-07-17,Nuke,WySix,LDLC
2312729_Cache,Spirit Kinguin Cache 11 16,2017-07-18,Cache,Spirit,Kinguin
2312741_Inferno,Miami Flamingos ex-Synthetik Inferno 16 11,2017-07-19,Inferno,Miami Flamingos,ex-Synthetik
2312750_Cobblestone,Gatekeepers WySix Cobblestone 6 16,2017-07-19,Cobblestone,Gatekeepers,WySix
2312756_Train,North Academy Space Soldiers Train 12 16,2017-07-19,Train,North Academy,Space Soldiers
2312757_Cobblestone,Playing Ducks Bpro Cobblestone 16 11,2017-07-19,Cobblestone,Playing Ducks,Bpro
2312758_Train,fnatic Academy iGame.com Train 16 7,2017-07-19,Train,fnatic Academy,iGame.com
2312765_Cobblestone,Envy NRG Cobblestone 16 5,2017-07-21,Cobblestone,Envy,NRG
2312766_Mirage,Renegades Misfits Mirage 16 9,2017-07-22,Mirage,Renegades,Misfits
2312771_Cobblestone,NRG GODSENT Cobblestone 11 16,2017-07-22,Cobblestone,NRG,GODSENT
2312774_Inferno,Heroic HellRaisers Inferno 16 8,2017-07-23,Inferno,Heroic,HellRaisers
2312779_Inferno,District 7 The Foundation Inferno 16 11,2017-07-20,Inferno,District 7,The Foundation
2312787_Cache,pro100 Bpro Cache 20 22,2017-07-20,Cache,pro100,Bpro
2312790_Overpass,fnatic Academy Gux & Friends Overpass 16 14,2017-07-23,Overpass,fnatic Academy,Gux & Friends
2312800_Mirage,Eclipse.o Invictus Mirage 7 16,2017-07-21,Mirage,Eclipse.o,Invictus
2312817_Inferno,District 7 Eanix Inferno 16 10,2017-07-21,Inferno,District 7,Eanix
2312821_Overpass,HAVU Team123 Overpass 16 5,2017-07-25,Overpass,HAVU,Team123
2312828_Train,ViCi Flash Train 16 12,2017-07-22,Train,ViCi,Flash
2312833_Inferno,Down To Frag FlipSid3 Academy Inferno 16 5,2017-07-21,Inferno,Down To Frag,FlipSid3 Academy
2312835_Cache,ViCi UYA Cache 5 16,2017-07-27,Cache,ViCi,UYA
2312835_Train,ViCi UYA Train 16 11,2017-07-27,Train,ViCi,UYA
2312836_Train,TYLOO ViCi Train 19 16,2017-07-28,Train,TYLOO,ViCi
2312844_Cache,Vault Elite Wolves Cache 16 5,2017-07-23,Cache,Vault,Elite Wolves
2312858_Inferno,WySix ALTERNATE aTTaX Inferno 16 13,2017-07-25,Inferno,WySix,ALTERNATE aTTaX
2312866_Overpass,Legacy Corvidae Overpass 16 7,2017-07-24,Overpass,Legacy,Corvidae
2312871_Inferno,TheMongolz Signature Inferno 2 16,2017-07-25,Inferno,TheMongolz,Signature
2312877_Train,pro100 undefined Train 6 16,2017-07-25,Train,pro100,undefined
2312878_Overpass,Chiefs AVANT Overpass 16 6,2017-07-25,Overpass,Chiefs,AVANT
2312882_Overpass,Mask Off Beacon Overpass 16 11,2017-07-26,Overpass,Mask Off,Beacon
2312888_Train,Grayhound Chiefs Train 1 16,2017-07-26,Train,Grayhound,Chiefs
2312889_Overpass,Chiefs NSPR Overpass 16 8,2017-07-26,Overpass,Chiefs,NSPR
2312893_Cobblestone,Chiefs TheMongolz Cobblestone 16 8,2017-07-27,Cobblestone,Chiefs,TheMongolz
2312895_Train,NSPR BOOT-d[S] Train 5 16,2017-07-27,Train,NSPR,BOOT-d[S]
2312907_Cache,Recca NSPR Cache 16 13,2017-07-30,Cache,Recca,NSPR
2312908_Overpass,Chiefs BOOT-d[S] Overpass 16 9,2017-07-31,Overpass,Chiefs,BOOT-d[S]
2312911_Train,Grayhound Recca Train 12 16,2017-07-31,Train,Grayhound,Recca
2312912_Train,Grayhound TheMongolz Train 12 16,2017-07-31,Train,Grayhound,TheMongolz
2312935_Overpass,PRIDE Gux & Friends Overpass 11 16,2017-07-27,Overpass,PRIDE,Gux & Friends
2312945_Overpass,Miami Flamingos Mythic Overpass 16 13,2017-07-27,Overpass,Miami Flamingos,Mythic
2312951_Inferno,BOOT Invictus Inferno 11 16,2017-07-27,Inferno,BOOT,Invictus
2312955_Overpass,CLG Academy Blight Overpass 16 12,2017-07-27,Overpass,CLG Academy,Blight
2312987_Cobblestone,TeamOne Merciless Cobblestone 19 17,2017-07-30,Cobblestone,TeamOne,Merciless
2312988_Overpass,Pnda FlipSid3 Academy Overpass 16 1,2017-07-28,Overpass,Pnda,FlipSid3 Academy
2313023_Train,teamasd Spirit Academy Train 11 16,2017-07-30,Train,teamasd,Spirit Academy
2313025_Train,EZG RONIN Train 3 16,2017-07-29,Train,EZG,RONIN
2313065_Overpass,Complexity Denial Overpass 19 16,2017-07-29,Overpass,Complexity,Denial
